userName,score,at,content
lutfi yanto,5,2026-05-08 08:04:23,sangat membantu
Johan Wahyudi,5,2026-05-08 07:59:14,"sudah semakin baik, tolong pembayaran via qris segera di buka. saya liat sudah ada cuma belum bisa di pakai. harusnya tanpa kena biaya tambahan lagi ya kayak bayar via marketplace."
vika destiara,5,2026-05-08 07:59:02,"Sangat Praktis, memudahkan saya tanpa harus pergi ke Samsat atau sewa calo. biaya admin dan pengiriman nya jg relatif terjangkau. Terimakasih."
DEDE AHMAD DUROHMAN SIDIK,5,2026-05-08 07:56:21,mantap ya satset😁... perpanjang 5 tahunan online jga
Putri,1,2026-05-08 07:40:50,aplikasi ga guna!!! mau bayar pajak keterangannya layanan tidak tersedia padhal hari kerja. terus juga cs di hubungi gada tanggepan dibales pun tidak.
Kemen Imipas,5,2026-05-08 07:30:37,luar biasa
RachmanSyah'53,5,2026-05-08 06:56:49,mantaf tanpa ribet
Okta Kurniawan,5,2026-05-08 06:56:29,alhamdulillah pindah2 mendadak bayar pajak tetap aman.. tks SIGNAL..
Dunia Akhirat,5,2026-05-08 06:32:45,mening bayar online dr pada ke kantornya banyak calo dan banyak biaya ga jelas.....
ANWAR SANUSI,5,2026-05-08 06:19:59,mantap
Achmad Prasetiyo,5,2026-05-08 05:48:40,cepat dan sesuai
Sarpian jumadi,5,2026-05-08 05:00:18,sangatt berguna di sekala waktuu sibuk. tapi apakah bisa kalu buat plat 5 tahun sekali dan apakah bisa stnk atas nama orang lain soal nya ada beberapa motor bekas atas nama orang lain bahkan ktp x gak ada lagi.
Nyoman Capeng,5,2026-05-08 04:47:31,sangat bagus bagi orang yg super sibuk😀😀😀
Fitri Yani,5,2026-05-08 04:30:00,memudahkan pembayaran pajak motor tahunan tanpa harus ke samsat..
Asep Susanto,5,2026-05-08 04:28:56,"tolong lebih diperhatikan kembali tinta pada lembar SKPnya, tipis banget untuk tulisannya. ngeri dipermasalahkan ketika pengecekkan dijalan, karna tidak ada yg tau ketemu oknum nakal atau tidaknya. terimakasih"
Andri Setiawan,5,2026-05-08 04:15:10,mantap jdi gk ribet harus perpanjang STNK ke kantor kalo gini mh....
Hervian Andika Pratama,1,2026-05-08 03:42:28,"busuk banget apknya, pilih dikirim ke alamat pas pilih alamat notifnya ""samsat tidak tersedia untuk alamat ini"". pdhl saya tinggal di kota besar"
andi beckham,5,2026-05-08 03:39:11,Cukup lewat hp bisa perpanjang pajak stnk dan diantar kurir sampai di rumah
Fakhir Muhammad M.,5,2026-05-08 03:38:24,"Bayar pajak jadi mudah, hemat waktu, tinggal tunggu di rumah dokumen dikirim, mantap lah"
Agus Yudi Dharma Putra,5,2026-05-08 03:27:39,keren
Irpan Setiawan,3,2026-05-08 02:15:01,pengiriman y lama
Vlog Papah Momong,1,2026-05-08 02:14:37,"aplikasi tdk bisa di gunakan utk membayar pajak, live chat juga tidak ada respond diskusi kasih bintang 1 ya karena blm spenuhnya bisa beroprasi tolong klo bikin aplikasi yg bisa memudahkan warga mau bayar pajak jaman srkg harus sudh bisa online,,, perbaiki ya bapak bapak aplikasinya"
heri Yana,1,2026-05-08 01:05:39,"tolong donk.. respon nya cepet klo di minta bantuan..masa bayar pajak udh seminggu kgk jdi"". proses Mulu"
eka apriyadi,5,2026-05-08 00:44:48,feeling good
Devi Febrianti,3,2026-05-08 00:08:43,kenapa gak bisa verifikasi email ?
Mayang Sari,5,2026-05-07 23:42:40,sangat memudahkan
Arum yunita nugroho,1,2026-05-07 19:09:48,"kenapa ada tambahan biaya 10000 saat tranfer,pdhl klik layanan ambil di tempat,ini sangat merugikan,"
Arie Zk,5,2026-05-07 17:01:35,"mantap ,jadi gak perlu antri ke Samsat"
Kania Nia,5,2026-05-07 16:11:37,mempermudah bayar pajak👍
Dede Riyadi,3,2026-05-07 15:50:09,Saya sudah 2 kali bayar melalui aplikasi signal tetapi kendala pengiriman terus
Oklah Uwuwuw,5,2026-05-07 15:48:42,perpanjangan stnk lebih mudah tinggal menunggu dirumah
Dodi Sumirat,5,2026-05-07 15:26:44,"apk signal keren skr sy udah bisa perpanjang stnk lewat onllen,sangat bermanfaat biasa nya sy harus ngurus pajak langsung ke bandung skr mah praktis ada apk signal tinggal nunggu di kirim dari bandung ke tanggerang mantaap lah"
nana nana,1,2026-05-07 15:14:03,"gak bisa bayar, padahal kode belum kadaluarsa, pakai shopeepay tulisannya: tagihan kamu sedang tidak dapat diproses, silahkan coba lagi dalam beberapa saat, pakai dana pun dah di coba tetep gak bisa, dah coba berkali-kali tetep gak bisa"
Hasan Nudin,4,2026-05-07 15:06:46,"praktiss dan mudaah, tolong diperbaikann lagi soal pengirimannnya, masaa kudu dikomplain dulu berkali2 baru dikirim"
Zuniarti Sarah,5,2026-05-07 15:04:13,lebih memudahkn untuk para pekerja
Andriansyah,5,2026-05-07 14:48:46,mantap mempermudah
Darsu JMC,5,2026-05-07 14:21:06,sangat puas .cepat
Sitompul Sitompul,5,2026-05-07 13:07:22,"sangat membantu, semoga yg 5 tahunan/ganti plat juga bisa semudah ini"
Eky Fergiawan,5,2026-05-07 13:00:24,terimakasih pelayanan nya ok
Muhamad Zordi Akbar.,1,2026-05-07 13:00:17,"dari 26 Desember 2025 sampai hari ini (7 mei 2026) dokumen tbpkp belum dikirim. saya tahu bahwa dokumen bisa diprint sendiri tapi saya sudah bayar ongkir, jadi dokumen itu HARUS dikirim. jika tidak ongkirnya lari kemana ? dikorupsi?"
kyo nichi,5,2026-05-07 12:58:46,aplikasi ini mempermudah masyarakat untuk membayar pajak kendaran bermotor tiap tahunnya
Rohman Abdul,5,2026-05-07 12:39:18,memuaskan
Carim Aje,5,2026-05-07 12:37:52,cukup membantu buat pajak tahunan.. 👍
